SALON,Address,City,ST,Zip,DSC,Six Month Sale
CANADIAN VALLEY TECHNOLOGY CENTER,6505 E HWY 66,EL RENO,OK,73036,Pam,11636.21
CAPELLO SALON,9420 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,4379.43
CARLA UGLUM,2298 BIRCH AVE,PIEDMONT,OK,73078,Pam,0
CARLA'S CUTS & CURLS,109 1/2 S NOBLE,WATONGO,OK,73772,Pam,495.71
CARMICHAELS SALON,190 NE 12TH ST,MOORE,OK,73160,Vicki,420.84
CAROLYN BOYDSTUN,4708 NW 73RD,OKLAHOMA CITY,OK,73132,Michael,56.65
CASADY STYLE SHOP,9630 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,1996.08
CATHERINE MILLER,2217 SW 27TH ST,OKLAHOMA CITY,OK,73108,Michael,164.12
CELESTE SALON & DAY SPA,2501 W MEMORIAL RD ,OKLAHOMA CITY,OK,73134,Pam,710.26
CENTRAL HAIR & NAIL,3518 N MACARTHUR,OKLAHOMA CITY,OK,73122,Michael,94.86
CENTRAL STATE BEAUTY ACADEMY,8494 NW EXPRESSWAY,OKLAHOMA CITY,OK,73162,Michael,6214.48
CHAD BARTON'S SCHOOL,1530 SW 89TH,OKLAHOMA CITY,OK,73159,Vicki,0
CHANGES,604 N VAN BUREN,ENID,OK,73703,Michael,965.55
CHARITY SORRELLS,RT1 BOX 4540,ANTLERS,OK,74523,Vicki,33.4
CHATEAU SALON,10001 S PENNSYLVANIA ,OKLAHOMA CITY,OK,73159,Vicki,1172.71
CHERLYN'S STYLE SHOPPE,1414 MAIN ST,WOODWARD,OK,73801,Pam,2036.94
CHERYL & CO,215 SE SOONER RD,DEL CITY,OK,73115,Vicki,489.71
CHERYL'S HAIR DESIGNS,1415 KAW,PERRY,OK,73077,Michael,171.34
CHEZ LA FEMME,200 S MAIN,HENNESSEY,OK,73742,Michael,509.42
CHISHOLM TRAIL VET HOSPITAL,211 S CZECH HALL RD,YUKON,OK,73099,Pam,95.6
CHOPPERS,6748 NW 39TH ,BETHANY,OK,73008,Michael,3561.62
CHOPS SALON,5123 N WESTERN,OKLAHOMA CITY,OK,73118,Pam,0
CHROME SALON,3504 E BURRIS RD,GLENCOE,OK,74032,Michael,1462.92
CINDY'S HAIR DESIGN,111 E MILES AVE,KINGFISHER,OK,73750,Michael,152.57
CITY LOOKS,715 NW 32ND PL,NEWCASTLE,OK,73065,Vicki,61.28
CITY SALON,5900 NW 49TH ST,OKLAHOMA CITY,OK,73122,Michael,2.96
CJ & FRIENDS,1347 GATEWAY ,MIDWEST CITY,OK,73110,Vicki,46.7
CJ'S THERAPEUTIC TOUCH,1509 E PERKINS,GUTHRIE,OK,73044,Michael,33
CLASSIC HAIR & NAILS,2225 S AIR DEPOT,MIDWEST CITY,OK,73110,Vicki,86.86
CLASSIC STYLING,550 W MAIN,NORMAN,OK,73069,Vicki,51.5
CLASSICS SALON & BARBER,57 E 15TH ST,EDMOND,OK,73013,Michael,2876.72
CLASSY CUT,602 W OWEN K GARRIOTT,ENID,OK,73701,Michael,594.89
CLIP N CUTS,7128 NW 23RD STREET,BETHANY,OK,73008,Michael,100.09
CLIPS AND HIPS,4822 MACARTHUR BLVD,WARR ACRES,OK,73122,Michael,372.42
COCOPELLI'S,8724 SE 15TH,MIDWEST CITY,OK,73110,Vicki,1215.71
COLOR ME GORGEOUS,333 W MOORE ST,ENID,OK,73701,Michael,1784.24
COMPLEXIONS,11956 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,236.86
CONNIE'S HAIR SALON,2900 N CLASSEN ,OKLAHOMA CITY,OK,73106,Michael,853.8
CORONADO & CO,11900 N PENN,OKLAHOMA CITY,OK,73120,Pam,354.41
COSMOPOLITAN,2921 SW 89TH ST ,OKLAHOMA CITY,OK,73159,Vicki,1199.21
COTTAGE HAIR DESIGN,6211 N MERIDIAN,OKLAHOMA CITY,OK,73112,Michael,245.06
COTTONWOOD SALON SPA,35 E 33RD,EDMOND,OK,73013,Michael,120.01
COUNTRY BARBER,21005 SE 29TH ST,HARRAH,OK,73045,Vicki,73.42
COUTOUR SALON & SPA,207 N MAIN,KINGFISHER,OK,73750,Michael,882.97
CRAZY BEAUTIFUL HAIR LOUNGE,5581 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,0
CREATIVE COLOURS HAIR,53 E 15TH ST,EDMOND,OK,73013,Michael,6727.66
CREATIVE CUTS,16840 COUNTY RD 3557,ADA,OK,74820,Vicki,62.41
CREATIVE CUTS,501 OKLAHOMA,GUTHRIE,OK,73044,Michael,975.19
CRIMSON SALON,111 HAL MULDROW DRIVE,NORMAN,OK,73069,Vicki,294.83
CURL-N-FADE,216 W MAIN,ADA,OK,74820,Vicki,554.99
CUSTOM CUTS & STLYE,4603 SE 29TH ST,DEL CITY,OK,73115,Vicki,0
CUSTOM CUTS & STYLE,4603 SE 29TH ST,DEL CITY,OK,73115,Vicki,104.23
CUT & COLOR LAB,4301 NW 63RD ,OKLAHOMA CITY,OK,73116,Michael,1802.03
CUT A CABANA,6200 E MCELROY,STILLWATER,OK,74075,Michael,0
CUT CONNECTION,6029 SE 84TH PLACE,OKLAHOMA CITY,OK,73135,Vicki,0
CUT LOOSE,110 W MAIN STREET,HINTON,OK,73047,Pam,116.26
CUT UPS,16317 N SANTA FE,EDMOND,OK,73013,Michael,138.3
CUT'N LOOSE,708 W 15TH ST ,EDMOND,OK,73013,Michael,8332.06
CUTS COLORS & CURLS,1245 INDEPENDENCE ST,LUCIEN,OK,73757,Michael,788.88
CUTTERS EDGE,12403 N ROCKWELL,OKLAHOMA CITY,OK,73142,Pam,1323.13
CUTTIN CORNERS HAIR SPA,400 S BROADWAY ,EDMOND,OK,73034,Michael,432.37
CUTTIN LOOSE,8816 S PENN ,OKLAHOMA CITY,OK,73159,Vicki,71.67
CUTTING EDGE,109 W MAIN ST,MOORE,OK,73160,Vicki,113.34
CUTTING EDGE FAMILY STYLE SHOP,105 S EASTERN AVE,MOORE,OK,73160,Vicki,18.68
CUTTING EDGE HAIR STUDIO,600 W MAIN ST,NORMAN,OK,73069,Vicki,107.97
CUTTING EDGE SALON,209 N MAIN,KINGFISHER,OK,73750,Michael,131.15
CUTTING EDGE SALON,209 N MAIN,KINGFISHER,OK,73750,Pam,469
CUTZ,300 W GRAY,NORMAN,OK,73069,Vicki,1227.17
D S SPALON,21001 SE 29TH ST,HARRAH,OK,73045,Vicki,0
D SALON,217 W MAIN,PURCELL,OK,73080,Vicki,739.92
DALLAS & CO,10487 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,3524.89
DANNA'S ESTETICA FAMILIAR,3452 SW 29TH ST,OKLAHOMA CITY,OK,73119,Pam,88.36
DARENA'S,422 N E 2ND ST,PERKINS,OK,74059,Michael,75.97
DARREL BARBER SHOP,8801 S SANTE FE,OKLAHOMA CITY,OK,73139,Vicki,179.35
DARRELL'S,116 W CHARLESTON,PAULS VALLEY,OK,73075,Vicki,0
DAVENPORT'S SALON,7634 N WESTERN,OKLAHOMA CITY,OK,73116,Michael,3012.8
DAZZLE,120 W MACARTHUR,SHAWNEE,OK,74804,Vicki,194.05
DEANNA CLARK,11428 BLUFF CREEK DR,OKLAHOMA CITY,OK,73116,Pam,240.3
DEJAVU,7733 S WALKER,OKLAHOMA CITY,OK,73139,Vicki,1946.45
DEJAVU SALON,600 N MAIN,BLANCHARD,OK,73010,Vicki,1246.21
DESIGNERS PLUS,12200 N MAY NORTHPARK,OKLAHOMA CITY,OK,73120,Pam,1208.34
DETAIL'S SALON,7427 NW 23RD ST,BETHANY,OK,73008,Michael,0
DIMENSIONS,3299 US HWY 75,HOLDENVILLE,OK,74848,Vicki,1250.83
DIVA SALON,8623 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,4609.15
DIVINE ELEGANCE,1432 W BRITTON RD,OKLAHOMA CITY,OK,73114,Pam,83.6
DJ'S HAIR STUDIO,3228 NW 22ND ST,OKLAHOMA CITY,OK,73107,Michael,754.45
DK SALON,13917 N MAY,OKLAHOMA CITY,OK,73134,Pam,1377.93
D'KACHE,2601 S MAY,OKLAHOMA CITY,OK,73108,Pam,1937.74
DMR SALON,9212 N ROCKWELL AVE ,OKLAHOMA CITY,OK,73132,Pam,202.01
DOLLFACE BEAUTY BAR,1615 S MUSTANG RD,YUKON,OK,73099,Pam,1114.48
