SALON,Address,City,ST,Zip,DSC,Six Month Sale
TIANA'S SALON,3411 N CLASSEN,OKLAHOMA CITY,OK,73118,Michael,1342.57
TIFFANY'S,139 S MAIN ST,STILLWATER,OK,74074,Michael,0
TIFFANY'S II,4806 N PERKINS RD ,STILLWATER,OK,74075,Michael,363.87
TIF'S FLAIR 4 HAIR,PO BOX 535,SEILING,OK,73663,Pam,2310.04
TINA'S HAIR & NAILS,1501 S SUNNYLANE,DEL CITY,OK,73115,Vicki,75.72
TIP N ENDS,108 E COLLEGE,WEATHERFORD,OK,73096,Pam,0
TJ'S CUT & STYLE,3124 N CLASSEN BLVD,OKLAHOMA CITY,OK,73118,Pam,596.42
TLC SALON,2700 N 27TH ST,MOORE,OK,73160,Vicki,55.55
TOMMIE JEAN'S SALON,7814 NW 94TH ST ,OKLAHOMA CITY,OK,73162,Pam,29.03
TONIC THE SALON,6433 N OLIE,OKLAHOMA CITY,OK,73116,Pam,5356.61
TONY FOSS DESIGN GROUP,7610 N MAY AVE,OKLAHOMA CITY,OK,73116,Pam,3931
TOP CUT FAMILY #4,627 NE 12TH AVE ,NORMAN,OK,73071,Vicki,402.41
TOP CUT FAMILY #5,1640 S SOONER RD ,OKLAHOMA CITY,OK,73110,Vicki,0
TOUCH OF CLASS,520 S CHICKASAW,PAULS VALLEY,OK,73075,Vicki,0
TOWER SALON,1601 NW EXPRESSWAY ,OKLAHOMA CITY,OK,73118,Pam,3117.02
TOWN N COUNTRY,2814 NW 32ND,NEWCASTLE,OK,73065,Vicki,203.54
TRACEY BOURLAND,2921 SW 111TH ST,OKLAHOMA CITY,OK,73170,Vicki,85.78
TRANQUILITY SALON & SPA,2000 W GRANT ,PAULS VALLEY,OK,73075,Vicki,5515.58
TRANSFORMATION,123 SE 4TH ST ,MOORE,OK,73160,Vicki,1438.34
TRENDS SALON,1251 S FRETZ AVE ,EDMOND,OK,73003,Michael,555.9
TRENDS SALON,207 W MAIN ST,WEATHERFORD,OK,73096,Pam,1300.24
TRENZ SALON & DAY SPA,14900 S WESTERN AVE,OKLAHOMA CITY,OK,73170,Vicki,836.85
TRESSES SALON & TANNING,10089 N 2410 RD,WEATHERFORD,OK,73096,Pam,1507.67
TRICHOLOGY SALON,14101 N MAY AVE ,OKLAHOMA CITY,OK,73134,Pam,10120.52
TRISTA TORRES,1003 SW,MINCO,OK,73059,Vicki,0
TRU COLORZ,4125 W OWEN K GARRIOTT ,ENID,OK,73703,Michael,154.44
T'S HOT HEADS,612 22ND ST,WOODWARD,OK,73801,Pam,0
TUCKER'S BARBER SHOP,7108 SE 15TH ST,MIDWEST CITY,OK,73110,Vicki,98.93
TWIN CUTS,2007 S SANTA FE,MOORE,OK,73160,Vicki,28.33
TWISTED SCISSORS,9105 S MAY,OKLAHOMA CITY,OK,73159,Vicki,580.65
UNIQUE COIFFURES,5900 NW 49TH ST,WARR ACRES,OK,73122,Michael,0
UNIQUELY U SALON & SPA,3705 W MEMORIAL ,OKLAHOMA CITY,OK,73134,Pam,244.45
UNWIND,119 N BROADWAY AVE,ADA,OK,74820,Vicki,59.73
UPTOWN HAIR & SPA,7911 W HEFNER RD ,OKLAHOMA CITY,OK,73162,Pam,0
URBAN HAIR & SKINCARE,211 N ROBINSON AVE ,OKLAHOMA CITY,OK,73102,Vicki,403.71
URBAN MODE,5758 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,530.72
URBAN RETREAT,5 S BROADWAY,EDMOND,OK,73034,Michael,9142
V SALON,17460 NE 23RD ST,CHOCTAW,OK,73020,Vicki,651.8
VADONNA SALON,544 E MEMORIAL RD,OKLAHOMA CITY,OK,73114,Michael,525
VALLEY GALS,323 W PAUL,PAULS VALLEY,OK,73075,Vicki,300.68
VELVET MONKEY,317 N WALKER,OKLAHOMA CITY,OK,73102,Vicki,100.52
VELVET MONKEY PLAZA SALON,1701 NW 16TH ST,OKLAHOMA CITY,OK,73106,Michael,514.17
VELVET MONKEY SALON TOO,3003 NW 63RD ST,OKLAHOMA CITY,OK,73116,Pam,393.58
VELVET MONKEY-DOWNTOWN,317 N WALKER,OKLAHOMA CITY,OK,73102,Vicki,0
VERONICA'S HAIR DESIGN,2707 S W 29TH,OKLAHOMA CITY,OK,73119,Pam,0
VICKI PATTERSON,8408 PRAIRIE RIDGE RD,OKLAHOMA CITY,OK,73135,Vicki,108.78
VICKI'S HAIR & NAIL SALON,SANTA FE PLAZA,OKLAHOMA CITY,OK,73102,Vicki,0
VIDA SALON & SPA,1825 S MORGAN RD,OKLAHOMA CITY,OK,73128,Pam,0
VILLAGE HEADQUARTERS,10966 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,705.75
VIP SALON,13512 N EASTERN AVE  ,OKLAHOMA CITY,OK,73131,Michael,2488.68
WANDA'S HAIR & BEAUTY,124 W JOY,PAULS VALLEY,OK,73075,Vicki,0
WAVELENGTHS,303 W HALL OF FAME,STILLWATER,OK,74074,Michael,2120.67
WAYNE'S KUT-N-UP,1312 S MORGAN RD,OKLAHOMA CITY,OK,73128,Pam,102.7
WAYNE'S SALON,501 S MUSTANG RD ,YUKON,OK,73099,Pam,2580.01
WEBB & CO,1046 E 2ND,EDMOND,OK,73034,Michael,191.86
WEST 117 SALON,11704 S WESTERN,OKLAHOMA CITY,OK,73170,Vicki,98.88
WEST GATE SALON,9414 WEST GATE DR,OKLAHOMA CITY,OK,73162,Michael,10390.13
WESTEND HAIR CO,1012 W 10TH ST,ADA,OK,74820,Vicki,6802.21
WESTHAVEN,2826 COUNTRY CLUB DR,OKLAHOMA CITY,OK,73120,Pam,3006.66
WHITE BARN SALON & SPA,2020 E LAKEVIEW,STILLWATER,OK,74075,Michael,0
WHITES BARBER SHOP,2412 N PORTLAND AVE,OKLAHOMA CITY,OK,73107,Michael,0
WILD HAIR RANCH,711 W MAIN,YUKON,OK,73099,Pam,1194.95
WILD HAIR SALON,110 N BROADWAY ,KONAWA,OK,74849,Vicki,0
WILDFLOWER SALON,1701 E 2ND ST ,EDMOND,OK,73034,Michael,3166.16
WILSON HAIR ART GALLERY,7914 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,1577.12
WINDSOR HILL BARBER,4559 A WINDSOR MALL,OKLAHOMA CITY,OK,73127,Michael,106.86
WINDSOR HILL BEAUTY ACADEMY,5400 NW 23RD STE ,OKLAHOMA CITY,OK,73127,Michael,0
WINGS OF DESIRE,2315 N HUDSON,OKLAHOMA CITY,OK,73103,Michael,0
WOOD ON WESTERN HAIR DESIGN,4511 N WESTERN,OKLAHOMA CITY,OK,73118,Pam,968.31
WOODWARD BEAUTY COLLEGE,502 TEXAS,WOODWARD,OK,73801,Pam,6658.1
YOUR BEAUTY SOURCE,228 S BRYANT,EDMOND,OK,73034,Michael,17303.5
YOUR TIME SALON,1333 E MAIN,WEATHERFORD,OK,73096,Pam,0
YUKON BEAUTY COLLEGE,221 W MAIN ST,YUKON,OK,73099,Pam,138.85
Z SALON,11201 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,17.04
ZOE AND COMPANY,1017 NW 41ST ST,OKLAHOMA CITY,OK,73118,Pam,125.23
